"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 29 17:55:25 CST 2020","Tue Sep 29 17:55:26 CST 2020","158","testCase.SMP.authentication.AuthenticationPolicyController.addAuthenticationTypes","test_addAuthenticationTypes","Test_class","","","添加认证方式-添加单个，方式存在",""
"passed","Tue Sep 29 17:55:50 CST 2020","Tue Sep 29 17:55:50 CST 2020","158","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","修改后软件名称为空",""
"passed","Tue Sep 29 17:55:43 CST 2020","Tue Sep 29 17:55:43 CST 2020","94","testCase.SMP.authentication.RedirectPoliciesController.addRule","test_addRule","Test_class","","","添加策略规则-已存在新添加",""
"passed","Tue Sep 29 17:55:28 CST 2020","Tue Sep 29 17:55:29 CST 2020","110","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAuthType","test_addPolicyAuthType","Test_class","","","添加认证方式-认证方式已存在，添加新的认证方式",""
"passed","Tue Sep 29 17:55:36 CST 2020","Tue Sep 29 17:55:36 CST 2020","139","testCase.SMP.authentication.AuthenticationPolicyController.editTerminateInferior","test_editTerminateInferior","Test_class","","","修改终止低优先级策略标识-由true到true",""
"passed","Tue Sep 29 17:55:30 CST 2020","Tue Sep 29 17:55:31 CST 2020","97","testCase.SMP.authentication.AuthenticationPolicyController.addauthenticationPolicies","test_addauthenticationPolicies","Test_class","","","新增认证策略-policyName和policyTags不为空",""
"passed","Tue Sep 29 17:55:28 CST 2020","Tue Sep 29 17:55:28 CST 2020","138","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAuthType","test_addPolicyAuthType","Test_class","","","添加认证方式-认证方式为SMSAuth",""
"passed","Tue Sep 29 17:55:49 CST 2020","Tue Sep 29 17:55:49 CST 2020","131","testCase.SMP.authentication.SoftwareController.clearClassify","test_clearClassify","Test_class","","","清空分类信息-ID不存在",""
"passed","Tue Sep 29 17:55:35 CST 2020","Tue Sep 29 17:55:36 CST 2020","190","testCase.SMP.authentication.AuthenticationPolicyController.editTerminateInferior","test_editTerminateInferior","Test_class","","","修改终止低优先级策略标识-由false到true",""
"passed","Tue Sep 29 17:55:26 CST 2020","Tue Sep 29 17:55:26 CST 2020","156","testCase.SMP.authentication.AuthenticationPolicyController.addAuthenticationTypes","test_addAuthenticationTypes","Test_class","","","添加认证方式-添加单个，方式不存在",""
